20260520 14:23:30.762792Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:23:35.760233Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:23:40.761343Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:23:45.763430Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:23:50.763417Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:23:55.763094Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:00.760158Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:05.761859Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:10.763512Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:15.763053Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:20.762763Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:25.762600Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:30.763620Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:35.761790Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:40.763198Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:43.369298Z 2251593 INFO  HttpServer::OnNewConnection : Add connection [ fd#27-id#2 ] from 127.0.0.1:41844 - HttpServer.cpp:49
20260520 14:24:43.369351Z 2251619 INFO  HttpServer::onMessage - Request URL : / from TcpConnection[ fd#27-id#2 ] - HttpServer.cpp:89
20260520 14:24:43.370918Z 2251593 INFO  TcpServer::HandleCloseInLoop - Remove connection [id#2-fd#27] - TcpServer.cpp:69
20260520 14:24:43.376617Z 2251593 INFO  HttpServer::OnNewConnection : Add connection [ fd#27-id#3 ] from 127.0.0.1:41852 - HttpServer.cpp:49
20260520 14:24:43.376668Z 2251617 INFO  HttpServer::onMessage - Request URL : /api/health from TcpConnection[ fd#27-id#3 ] - HttpServer.cpp:89
20260520 14:24:43.380236Z 2251593 INFO  TcpServer::HandleCloseInLoop - Remove connection [id#3-fd#27] - TcpServer.cpp:69
20260520 14:24:45.763042Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:50.760925Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:24:55.762932Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:00.761704Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:05.761803Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:10.763148Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:15.762738Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:20.763529Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:23.941242Z 2251593 INFO  HttpServer::OnNewConnection : Add connection [ fd#27-id#4 ] from 58.247.150.86:17361 - HttpServer.cpp:49
20260520 14:25:23.941607Z 2251593 INFO  HttpServer::OnNewConnection : Add connection [ fd#28-id#5 ] from 58.247.150.86:17362 - HttpServer.cpp:49
20260520 14:25:23.943955Z 2251619 INFO  HttpServer::onMessage - Request URL : /monitor from TcpConnection[ fd#27-id#4 ] - HttpServer.cpp:89
20260520 14:25:24.818172Z 2251619 INFO  HttpServer::onMessage - Request URL : /api/prometheus/query_range from TcpConnection[ fd#27-id#4 ] - HttpServer.cpp:89
20260520 14:25:24.820028Z 2251617 INFO  HttpServer::onMessage - Request URL : /api/prometheus/query_range from TcpConnection[ fd#28-id#5 ] - HttpServer.cpp:89
20260520 14:25:25.760286Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:30.763433Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:35.761702Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:40.763304Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:45.760759Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:50.761284Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:55.761051Z 2251617 INFO  HttpServer::onMessage - Request URL : /metrics from TcpConnection[ fd#26-id#1 ] - HttpServer.cpp:89
20260520 14:25:58.148599Z 2251617 INFO  HttpServer::onMessage - Request URL : /monitor from TcpConnection[ fd#28-id#5 ] - HttpServer.cpp:89
20260520 14:25:58.189837Z 2251617 INFO  HttpServer::onMessage - Request URL : /api/prometheus/query_range from TcpConnection[ fd#28-id#5 ] - HttpServer.cpp:89
20260520 14:25:58.190409Z 2251619 INFO  HttpServer::onMessage - Request URL : /api/prometheus/query_range from TcpConnection[ fd#27-id#4 ] - HttpServer.cpp:89
20260520 14:25:58.204718Z 2251593 INFO  HttpServer::OnNewConnection : Add connection [ fd#29-id#6 ] from 58.247.150.86:17404 - HttpServer.cpp:49
20260520 14:25:58.205465Z 2251619 INFO  HttpServer::onMessage - Request URL : /favicon.ico from TcpConnection[ fd#29-id#6 ] - HttpServer.cpp:89
20260520 14:25:58.205570Z 2251593 INFO  TcpServer::HandleCloseInLoop - Remove connection [id#6-fd#29] - TcpServer.cpp:69
20260520 14:25:59.141262Z 2251619 INFO  HttpServer::onMessage - Request URL : /monitor from TcpConnection[ fd#27-id#4 ] - HttpServer.cpp:89
20260520 14:25:59.178511Z 2251619 INFO  HttpServer::onMessage - Request URL : /api/prometheus/query_range from TcpConnection[ fd#27-id#4 ] - HttpServer.cpp:89
20260520 14:25:59.178634Z 2251617 INFO  HttpServer::onMessage - Request URL : /api/prometheus/query_range from TcpConnection[ fd#28-id#5 ] - HttpServer.cpp:89
20260520 14:25:59.192165Z 2251617 INFO  HttpServer::onMessage - Request URL : /favicon.ico from TcpConnection[ fd#28-id#5 ] - HttpServer.cpp:89
20260520 14:25:59.192296Z 2251593 INFO  TcpServer::HandleCloseInLoop - Remove connection [id#5-fd#28] - TcpServer.cpp:69
